DSS No.,Asset development stages,Leading practice area,Leading practice activity,Context,Decision(s),Rationale,Information requirements,Technical and process considerations,Related ARD/ML leading practices areas/activities,Useful GARD Guide resources,Figure 1,Figure 2,Figure 3,Content
51,Closure,Develop and refine ARD/ML management plan,"Development and Integration with Mine, Water, Waste, and Closure Plans","The closure stage presents the final opportunity to update and refine the ARD/ML management plan. While the closure plan should have been regularly updated throughout operations to provide for closure execution in this phase, if this has not yet been completed, it is during this stage that there might be the highest reliance on the ARD/ML management plan to inform and support more detailed closure planning. 

Information in the ARD/ML management plan is used to support the implementation of closure measures based on predicted post-closure drainage chemistries from residual mine landforms/facilities. The ARD/ML management plan is updated with new drainage chemistry predictions, final closure ARD/ML prevention and mitigation measures, and information from any additional geochemical characterisation studies (eg closure construction materials).",(1) Are there any changes or updates required to the ARD/ML management plan for the closure stage?,"The closure stage presents the ultimate opportunity to use the information that has been captured in the ARD/ML management plan during preceding stages to support closure planning. It is also critical to update the ARD/ML management plan with the final closure measures (as they relate to ARD/ML prevention and mitigation during the post-closure stage). The updated ARD/ML management plan becomes a record of all ARD/ML related information for the asset, is a consolidated technical reference for the closure plan and is used to communicate ARD/ML prevention and mitigation strategies.","(1) Results from geochemical verification and/or characterisation programs during operations
(2) New or updated drainage chemistry predictions
(3) Relevant mine waste and water operational data (eg production records, material masses stored, water volumes managed)
(4) ARD/ML monitoring data
(5) Any changes to (integrated) mine waste and water management strategies or measures
(6) Closure plan, including outcomes, objectives and criteria 
(7) Regulatory requirements related to ARD/ML management during closure","The ARD/ML management plan is updated during the closure stage to consolidate and be an updated repository of all ARD/ML data, information, measures, and commitments associated with the asset. The updated ARD/ML management plans also acts as a technical reference for ARD/ML components of the closure plan.

The ARD/ML management plan should be updated with the following information:
(1) Changes to the closure plan, specifically any changes to residual mine landforms/facilities ARD/ML prevention and mitigation measures.
(2) Results of geochemical verification and characterisation programs (eg closure construction materials).
(3) ARD/ML management performance assessment.

It is essential that all functions responsible for ARD/ML planning, mine planning, mine waste planning, mine water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) Develop and refine ARD/ML management plan → All leading practice activities
(2) Integrated closure → Integrated closure","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(3) Chapter 10: Acid Rock Drainage Communication and Consulting
(4) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
52,Closure,Implement ARD/ML plan,Integration with Mine Planning and Operations,"The closure measures for ARD/ML management will be incorporated into the ARD/ML management plan and regularly updated throughout the design, construction and operations stages. By the time closure activities are being executed, the closure measures should be clearly defined and based on the current ARD/ML situation and the requirements to achieve the closure outcomes and objectives in the long term. The ARD/ML management plan should clearly identify the closure execution requirements for ARD/ML management including the need for any additional sampling, monitoring or risk assessment.  ",(1) Are mechanisms identified and described to implement the ARD/ML management plan in the closure asset development stage in an integrated way with the closure plan?,"Effective implementation of closure-related ARD/ML management plan, prevention and mitigation measures is critical to the ongoing effective prevention and mitigating of ARD/ML risks during the closure and post-closure asset stage. This will reduce the post-closure ARD/ML risks to meet applicable regulatory requirements, closure objectives, and stakeholder expectations. ","(1) ARD/ML management plan with specific focus on ARD/ML activities identified for the implementation of closure measures.
(2) Environmental, mine water and mine waste management and monitoring plans with specific focus on ARD/ML management activities that are embedded in these plans.
(3) Closure plan
(4) Description of relevant management system structure and activities.
(5) Standard operating procedures and/or specifications for ARD/ML management activities","The ARD/ML management plan identifies and describes the ARD/ML management activities (eg geochemical verification and characterisation programs of closure construction materials, closure monitoring) that are to be implemented during the closure stage. Where required, the operational management system and standard operating procedures are adjusted to reflect specific closure activities.

Geochemical verification (quality assurance/quality control) and characterisation activities related to closure construction materials are typically captured in the design specifications and/or standard operating procedures for these activities, usually prior to commencement of the closure stage to ensure efficient execution. Reviewing, auditing, and monitoring of the ARD/ML management plan continues to occur during the closure stage. 

Various ARD/ML related assessments, including the evaluation/confirmation of ARD/ML related closure measures and updating of post-closure drainage chemistry predictions, take place during the closure stage. Learnings or adjustments resulting from the implementation of the ARD/ML management activities should be included in the final version of the ARD/ML management plan.

It is essential that all functions responsible for ARD/ML planning, mine planning, mine waste planning, water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Continual improvement of ARD/ML practices → Adaptive management
(4) Integrated closure → Integrated closure","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 10: Acid Rock Drainage Communication and Consulting
(3) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
53,Closure,Monitor and assess performance,Transparency in Data Management and Reporting,"The overall mine management plan should incorporate the ARD/ML management strategy so that the site condition at mine closure is consistent with closure objectives. An ARD/ML management plan should provide for the sustained existence and performance of the structures that are required to achieve long-term prevention and mitigation of ARD/ML.

During the closure stage, environmental conditions are compared to results from the predictive models to assess the need for and approach to long-term monitoring. Because there may be significant lag times to the onset of ARD/ML, the absence of ARD/ML issues during operations does not negate the possibility of ARD/ML conditions occurring following closure of the asset.",(1) Does the monitoring plan require modification in order to facilitate the assessment of the performance of specific closure rehabilitation measures?,"Implementation indicators reflect how well the ARD/ML management plan is being executed and how well elements of the plan are performing against expected performance values. Monitoring involves the measurement of implementation and performance in accordance with indicators. Assessment involves the comparison of observed indicator values compared to expected values. If assessment signals that achieved performance indicators vary significantly from the expected values in the ARD/ML management plan, it must be modified to achieve the desired performance (objectives) through the process of adaptive management.","(1) Closure plan
(2) Operational asset stage monitoring program results, analysis, and interpretation
(3) Company drainage prediction guidelines/requirements
(4) Company closure standards and requirements
(5) Applicable regulatory guidelines
(6) Adaptive management ","During closure, the geochemical characterisation program is completed, the most robust drainage predictions are available, and the closure rehabilitation measures have been designed. The ARD/ML management activities are focused on implementing the selected closure rehabilitation measures (mitigation, treatment) not already undertaken during progressive closure (aka concurrent closure) and the enhancement or correction of any progressive closure works that have been deemed, through the monitoring and performance assessment, to not meet success criteria.

ARD/ML data and information obtained during the closure stage need to be compiled in a systematic manner in an electronic repository accessible to all functions involved with ARD/ML management. A record should be kept of formal discussions of ARD/ML related topics, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Define and refine ARD/ML management plan → Characterisation
(3) Define and refine ARD/ML management plan → Prediction
(4) Define and refine ARD/ML management plan → Prevention, mitigation, and treatment
(5) Define and refine ARD/ML management plan → Monitoring plan
(6) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(7) Implement ARD/ML management plan → Integration with mine planning and operations
(8) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
54,Closure,Continual improvement of ARD/ML practices,Adaptive Management,"In the closure stage, the monitoring and performance assessment results are used to determine if the operational management practices have been met and the subsequent closure management measures are meeting the defined objectives of the ARD/ML management plan. The adaptive management plan describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. ",(1) Are the management practices in the current asset stage meeting the defined objectives of the ARD/ML management plan?,"If the current defined objectives are not being met, the adaptive management process should be initiated to address and reduce uncertainties. Adaptive management plans are living documents that are continually updated as project or environmental conditions change. The ARD/ML management plan is similarly updated to reflect adaptive management.","(1) ARD/ML management plan and other integrated mine waste and water management plans
(2) Closure stage monitoring and performance assessment results
(3) Company drainage prediction guidelines/requirements
(4) Applicable regulatory guidelines and site permit requirements
(5) Key performance indicators
(6) Closure plan","The results of the monitoring program and performance assessment during the closure stage are compared to the results from the predictions of drainage chemistry conducted during previous stages and to the defined objectives, standards and KPIs. Unexpected outcomes are assessed, and learnings are identified that will serve to reduce uncertainty. The adaptive management plan describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. Based on the results of the adaptive management process, the practices described in the integrated closure and ARD/ML management plans are then modified accordingly to better achieve the desired objective of the plans. The monitoring programs are also revised to improve the performance assessment process.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Define and refine ARD/ML management plan → Characterisation
(3) Define and refine ARD/ML management plan → Prediction
(4) Define and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Integration with mine planning and operations 
(6) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-4: Adaptive Management Implementation by Phased Approach
(3) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
55,Closure,Integrated closure,Integrated Closure,"By the end of planned operations, progressive rehabilitation has been completed with a view to efficient implementation of closure activities, subsequent post-closure monitoring and maintenance, and achievement of the planned closure outcome. This approach will minimise the unknowns associated with the transition to closure and associated risks. With respect to ARD/ML management, this approach can serve to minimise potential environmental impacts, costs associated with their mitigation or management, and associated financial liability/reputational risk. During closure, the ARD/ML management activities are focused on implementing the selected closure measures (such as relocation of source material, mitigation, treatment) and on monitoring and performance assessment. ",(1) Are mechanisms identified and documented for ARD/ML leading practice areas and activities that support ongoing closure planning?,"The ARD/ML leading practice areas and activities conducted during the closure stage are focused primarily on implementing the closure aspects of the ARD/ML management plan, monitoring and performance assessment and adaptive management.","(1) ARD/ML management plan developed during operations 
(2) Closure plan refined during operations
(3) ARD/ML monitoring data
(4) Results from assessment of the success of progressive closure measures
(5) Company drainage prediction guidelines/requirements
(6) Company closure guidelines/requirements
(7) Applicable regulatory guidelines
(8) Risk acceptance by company and stakeholders
(9) Feedback on closure vision and design from ongoing stakeholder engagement ","During closure, the geochemical characterisation program is completed, the most robust drainage predictions are available, and the closure rehabilitation measures have been designed. The ARD/ML management activities are focused on implementing the selected closure rehabilitation measures (mitigation, treatment) not already undertaken as part of progressive closure and the enhancement or correction of any progressive closure works that have been deemed through the monitoring and performance assessment to not meet success criteria. ","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction 
(3) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment 
(4) Implement ARD/ML management plan → Integration with mine planning and operations
(5) Monitor and assess performance → Transparency in data management and reporting 
(6) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 10: Acid Rock Drainage Communication and Consulting 
(2) Chapter 11: Sustainable Mine Closure ",No figure,No figure,No figure,Y
56,Post-Closure,ARD/ML Governance and Strategy,Define ARD/ML Governance and Strategy at Corporate Level,,,,,,,,,,,N
57,Post-Closure,"ARD/ML Objectives, Standards, and KPIs","Set ARD/ML Objectives, Standards, and KPIs at Asset Level",,,,,,,,,,,N
58,Post-Closure,Develop and Refine ARD/ML Management Plan,Characterisation,,,,,,,,,,,N
59,Post-Closure,Develop and Refine ARD/ML Management Plan,Prediction,,,,,,,,,,,N
60,Post-Closure,Develop and refine ARD/ML management plan,"Prevention, Mitigation, and Treatment","During post closure, the effectiveness of the prevention and mitigation measures is monitored and assessed against the objectives, KPIs, and regulatory and other stakeholder requirements.","(1) Are the objectives, KPIs, requirements, and expectations still applicable to the post closure stage? 
(2) Do the implemented prevention and mitigation strategies results in compliance with all objectives, KPIs, requirements and expectations?","During the post closure stage, the results of monitoring and performance assessment are used to evaluate the effectiveness of the implemented prevention, mitigation and treatment strategies, and corrective actions are executed as appropriate and documented.","(1) Applicable regulatory guidelines and site permit requirements monitoring results
(2) Key performance indicators
(3) Closure plan","If the results of the post closure stage monitoring and performance evaluation require reassessment of the effectiveness of the prevention, mitigation and treatment measures described in the ARD/ML management plan and closure plan, corrective measures are implemented as appropriate and documented.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction
(4) Develop and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Integration with mine planning and operations
(6) Monitor and assess performance → Transparency in data management and reporting",(1) Chapter 11: Sustainable Mine Closure,No figure,No figure,No Figure,Y
61,Post-Closure,Develop and refine ARD/ML management plan,Monitoring Program Plan,Monitoring during post closure is typically conducted per company and regulatory requirements to assess performance of the closure measures. ,"(1) Are company and regulatory requirements for ARD/ML monitoring defined for closure and post closure activities?
(2) Are time periods for closure and post closure monitoring activities defined?
(3) Are modifications to the monitoring plan (eg locations, parameters, monitoring methods) required in order to facilitate the assessment of the performance of specific closure measures and to identify the need for adaptive management?",Post closure monitoring is performed to assess the performance of the rehabilitation design in meeting to the defined closure objectives and company/regulatory requirements and to demonstrate the chemical stability of the mine wastes in the long term. Post closure monitoring may also be used to indicate the need for maintenance to be conducted on the site (eg cover repair). All monitoring activities should be leveraged to identify maintenance needs.,"(1) Closure plan
(2) Company drainage prediction guidelines/requirements
(3) Company closure standards
(4) Applicable regulatory guidelines and site permit requirements
(5) Monitoring and performance assessment data","The post closure chemical stability monitoring program is tailored to the specific mine site and designed with a representative number of sample locations, frequency, and analytical parameters to assess the performance of the rehabilitation measures and the effect on the receiving environment. For closed assets with ARD/ML potential, it may take decades to consistently demonstrate closure criteria have been achieved and develop an understanding of the long-term trends that show the asset is on a trajectory toward successful closure (or alternatively that further works may be required). Hence, post closure monitoring data should not be viewed in isolation, but periodic review of all available information should be undertaken to allow for an assessment of trends that may not be obvious with datasets from a shorter timeframe. ","(1) Implement ARD/ML management plan → Integration with mine planning and operations
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Continual improvement of ARD/ML practices → Adaptive management
(4) Integrated closure → Integrated closure",(1) Chapter 11: Sustainable Mine Closure,No figure,No figure,No figure,Y
62,Post-Closure,Develop and Refine ARD/ML Management Plan,"Development and Integration with Mine, Water, Waste, and Closure Plans",,,,,,,,,,,N
63,Post-Closure,Implement ARD/ML Plan,Integration with Mine Planning and Operations,,,,,,,,,,,N
64,Post-Closure,Monitor and assess performance,Transparency in Data Management and Reporting,"Monitoring for potential ARD/ML effects typically continues well into the post closure stage because ARD/ML cannot become evident until after a considerable latent or lag period. Longer-term monitoring is frequently associated with the presence of ARD/ML-generating materials. Post closure monitoring is performed to assess the performance of the closure design in meeting to the defined closure objectives and to demonstrate the geochemical stability of the mine wastes in the long term. Post closure monitoring may also be used to indicate the need for maintenance to be conducted on the site (eg cover repair). All post closure monitoring activities should be leveraged to identify maintenance needs.

The success of a mine closure is determined in the post closure stage, in the years to decades after completing the closure works. For assets with potential ARD/ML issues, this is also the time frame over which these issues may become apparent. At the very highest level of durable mine closure planning, closure goals are set for the post closure nature of the site, including environmental targets. In the case of ARD/ML, where acid generation and its impacts may take years or decades to become evident, defining an appropriate temporal component of these success criteria is critical. Success criteria and associated monitoring, particularly related to water quality, may be in place for decades. Understanding whether the asset is on a trajectory toward meeting the closure objectives is of great value and allows for the adjustment of mitigation measures or monitoring, as necessary. ","(1) Are the time periods for closure and post closure monitoring activities properly defined?
(2) Does the monitoring plan require modification (eg locations, parameters, monitoring methods, frequency) to facilitate the assessment of the performance of specific closure measures and identify leading indicators and triggers for adaptive management?","Post closure monitoring programs often differ from those of the operations stage in that they are focussed on a subset of monitoring stations most relevant to the key closed mine ARD/ML sources and receiving environment. Some parameters may be monitored for a relatively short period of time, until it can be demonstrated that closure success criteria have been met and are durable, or that the concentrations are on a trajectory towards meeting the success criteria. In other cases, longer-term monitoring may be required (eg at assets with ongoing water treatment).","(1) Closure plan
(2) Operational asset stage and closure stage monitoring program results, analysis, and interpretation
(3) Company drainage prediction guidelines/requirements
(4) Company closure standards/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Adaptive management ","In the post closure stage, the key activities related specifically to ARD/ML can range from a relatively active site presence (and cost) for long-term operation of water management and water treatment to a relatively minimal requirement of periodic monitoring and maintenance of structures. The post closure chemical stability monitoring program is tailored to the specific asset and designed with a representative number of sample locations, frequency, and analytical parameters to assess the performance of the rehabilitation measures and the effect on the receiving environment. For closed assets with ARD/ML potential, it may take decades to consistently demonstrate closure criteria have been achieved and develop an understanding of the long-term trends that show the asset is on a trajectory toward successful closure (or alternatively that further works may be required). Hence, post closure monitoring data should not be viewed in isolation, but periodic review of all available information should be undertaken to allow for an assessment of trends that may not be obvious with datasets from a shorter timeframe. ","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Define and refine ARD/ML management plan → Characterisation
(3) Define and refine ARD/ML management plan → Prediction
(4) Define and refine ARD/ML management plan → Prevention, mitigation, and treatment
(5) Define and refine ARD/ML management plan → Monitoring plan
(6) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(7) Implement ARD/ML management plan → Integration with mine planning and operations
(8) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
65,Post-Closure,Continual improvement of ARD/ML practices,Adaptive Management,"In the post closure stage, the monitoring and performance assessment results are used to determine if the management practices are meeting the defined objectives of the ARD/ML management plan. The adaptive management plan describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. ",(1) Are the management practices in the current asset stage meeting the defined objectives of the ARD/ML management plan?,"If the current defined objectives are not being met, the adaptive management process is initiated to address and reduce uncertainties. Adaptive management plans are living documents that are continually updated as project or environmental conditions change. The ARD/ML management plan is similarly updated to reflect adaptive management.","(1) ARD/ML management plan and other integrated mine waste and water management plans
(2) Post closure stage monitoring and performance assessment results
(3) Company drainage prediction guidelines/requirements
(4) Applicable regulatory guidelines and site permit requirements
(5) Key performance indicators
(6) Closure plan","The results of the monitoring program and performance assessment during the post closure stage are compared to the results from the predictions of drainage chemistry conducted during previous stages and to the defined objectives, standards, and KPIs. Unexpected outcomes are assessed, and learnings are identified that will serve to reduce uncertainty. The adaptive management plan describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. Based on the results of the adaptive management process, the post closure practices are then modified accordingly to better achieve the desired post closure objectives. The monitoring program is also revised to improve the performance assessment process.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Define and refine ARD/ML management plan → Characterisation
(3) Define and refine ARD/ML management plan → Prediction
(4) Define and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Integration with mine planning and operations 
(6) Monitor and assess performance → Transparency in data management and reporting ","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-4: Adaptive Management Implementation by Phased Approach
(3) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
66,Post-Closure,Integrated Closure,Integrated Closure,,,,,,,,,,,N
